tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,conversation_id
18209,120041,True,2017-11-01 05:10:10+00:00,@115850. Thanks Joyeeta(customer service) for AMAZON service. Didn't opted for faster delivery still got it when i emailed you its urgent.,18208,,18209.0
18208,AmazonHelp,False,2017-11-01 05:14:55+00:00,@120041 We're glad the order was delivered ahead of schedule! We'll forward your kind words with the customer service associate. ^ZH,,18209.0,18209.0
18424,120094,True,2017-11-01 05:03:17+00:00,また #詐欺 からショートメール来たよ。今度はアマゾンサポートセンター 0363847899 https://t.co/8OicafY1Pz,18422,,18424.0
18422,AmazonHelp,False,2017-11-01 05:29:53+00:00,@120094 失礼いたします。ご存知かと存じますが、当サイトからSMSでメールをお送りすることはございません。アマゾンの名をかたるフィッシング行為が増えているようです。どうぞお気を付けくださいませ。https://t.co/k4jy2iTq1Y  SM,18423,18424.0,18424.0
18423,120094,True,2017-11-01 05:42:40+00:00,@AmazonHelp はい^ ^すぐに架空請求だと分かりました。ありがとうございます。,18425,18422.0,18424.0
18425,AmazonHelp,False,2017-11-01 05:47:54+00:00,@120094 とんでもないことでございます。今後も引き続きお気を付けください。TN,,18423.0,18424.0
20052,120407,True,2017-11-01 06:36:44+00:00,@AmazonHelp cannot change default wishlist in any app or browser regardless of mobile device. log out/in does not fix. Error message. Advise,20050,,20052.0
20050,AmazonHelp,False,2017-11-01 06:44:29+00:00,@120407 Sorry to hear that. What error message are you getting? ^RS,20051,20052.0,20052.0
20051,120407,True,2017-11-01 06:58:33+00:00,@AmazonHelp Amazon has encountered an error. Please try again shortly. This message appears every time I attempt to change my default list for days now.,20053,20050.0,20052.0
20053,AmazonHelp,False,2017-11-01 07:13:30+00:00,@120407 My apologies Christopher. Have you tried from a non mobile device? ^DC,,20051.0,20052.0
20427,120465,True,2017-11-01 03:08:53+00:00,"🎊#ガルパン 見放題一挙配信決定🎊 
アニメ「ガールズ&amp;パンツァー」のTVシリーズ・OVA・劇場版が11/17より #Amazonプライムビデオ で一挙配信決定📢見放題独占配信となる劇場版は特典映像「#秋山優花里 の戦車講座」付き！https://t.co/PDxWrlMkxZ https://t.co/ysSDBbBA2X","20428,20426,20429",,20427.0
20426,120464,True,2017-11-01 07:03:05+00:00,"@120465 ありがたや...ありがたや...
所でグランドツアーシーズン2の配信はまだでしょうかー？",20425,20427.0,20427.0
20425,AmazonHelp,False,2017-11-01 07:06:28+00:00,@120464 申し訳ございませんが、今後の配信予定についてはご案内することができません。配信を心待ちにされているところ誠に恐れ入りますが、適宜サイト上などをご確認ください。TN,,20426.0,20427.0
20428,447654,True,2017-11-01 17:11:05+00:00,"@120465 新火箱(FireTV)買って正解だった
d(ŐдŐ๑)",1409653,20427.0,20427.0
1409653,AmazonHelp,False,2017-11-01 23:09:00+00:00,@447654 ご購入ありがとうございます！そのようにおっしゃっていただけて何よりです😊 YM,,20428.0,20427.0
20429,448554,True,2017-11-02 01:39:11+00:00,@120465 17日からかぁ、この連休中から開始してほしかった・・・(´・ω・｀),1413783,20427.0,20427.0
1413783,AmazonHelp,False,2017-11-02 01:52:53+00:00,@448554 申し訳ございません。お客様からご指摘いただいた点は担当部署にお伝えし、今後のサービス改善の参考にさせていただきます。 YM,,20429.0,20427.0
21459,120689,True,2017-11-01 07:14:42+00:00,Friend has received his Amazon Echo Plus shipment in the morning today. Still waiting for my dot.,"21457,21460",,21459.0
21457,AmazonHelp,False,2017-11-01 07:54:26+00:00,@120689 Could you please confirm if we have missed the mentioned time frame? 2/2 ^AH,21458,21459.0,21459.0
21460,AmazonHelp,False,2017-11-01 07:54:26+00:00,@120689 Our products are shipped on time so that they can reach you by the estimated delivery date. 1/2 ^AH,,21459.0,21459.0
21458,120689,True,2017-11-01 08:03:26+00:00,"@AmazonHelp Not at all, you’re on schedule. Thanks. :)",,21457.0,21459.0
21493,120694,True,2017-11-01 07:46:26+00:00,"@115821 
Why does not Amazon support the Arabic language knowing that many customers have 85% of the Arabs?
@AmazonHelp",21492,,21493.0
21492,AmazonHelp,False,2017-11-01 07:49:00+00:00,"@120694 Hi, I'll be sure to pass your feedback on, thanks. ^AS",,21493.0,21493.0
21914,120775,True,2017-11-01 07:42:45+00:00,#AmazonPayAppQuiz who's the winner @115850 @AmazonHelp,21913,,21914.0
21913,AmazonHelp,False,2017-11-01 08:06:28+00:00,@120775 I believe the winners will be announced by 7th November. Kindly wait until then. ^AB,,21914.0,21914.0
27904,122105,True,2017-11-01 10:18:16+00:00,"@115830 still waiting for my parcels supposed to be delivered next day, 2 days later still waiting, customer service department no help",27902,,27904.0
27902,AmazonHelp,False,2017-11-01 10:31:54+00:00,@122105 Is there a delivery date showing here https://t.co/aaDyEz1VgE? ^BM,27903,27904.0,27904.0
27903,122105,True,2017-11-01 10:40:08+00:00,@AmazonHelp 30th,27905,27902.0,27904.0
27905,AmazonHelp,False,2017-11-01 10:52:00+00:00,@122105 And does it advise anything on the tracking? When was the latest update? ^PK,,27903.0,27904.0
29944,122588,True,2017-11-01 11:37:28+00:00,"2 months later, 5 phone calls, speaking to an upper level manager and I still haven't received access to my @115821 account. COOL GUYS.",29942,,29944.0
29942,AmazonHelp,False,2017-11-01 11:43:37+00:00,@122588 I'm sorry to hear that Heather. Have you been given any advice since the issue began? ^DC,29943,29944.0,29944.0
29943,122588,True,2017-11-01 11:44:18+00:00,@AmazonHelp I was told I'd receive an email to reset my password since my account was hacked and 5 phone calls later nothing.,29945,29942.0,29944.0
29945,AmazonHelp,False,2017-11-01 11:47:28+00:00,@122588 Have you checked your junk/spam folders to make sure the e-mails aren't getting filtered out? ^MJ,29946,29943.0,29944.0
29946,122588,True,2017-11-01 11:48:12+00:00,@AmazonHelp  https://t.co/b5RacHAicP,29947,29945.0,29944.0
29947,AmazonHelp,False,2017-11-01 12:05:32+00:00,@122588 Please provide a few more details and a member of my team will personally look into this further: https://t.co/N3eoiSF1lL ^SD,29948,29946.0,29944.0
29948,122588,True,2017-11-01 12:51:09+00:00,@AmazonHelp I can't log in to my account to even do that. That's the issue. I have Zero access cause it's been hacked.,29949,29947.0,29944.0
29949,AmazonHelp,False,2017-11-01 12:55:28+00:00,"@122588 No problem, Heather! Below the Sign In button there is the option to Skip Sign In. Click on that since you don't have access.",29950,29948.0,29944.0
29950,122588,True,2017-11-01 13:32:35+00:00,@AmazonHelp Sent.,29951,29949.0,29944.0
29951,AmazonHelp,False,2017-11-01 13:37:32+00:00,"@122588 We just received the form, Heather! Someone will contact you soon! ^AD",,29950.0,29944.0
30036,122605,True,2017-11-01 11:23:21+00:00,"@115850 I just got a message that my package was delivered to my home, but I am sitting in my office! Can u please ask who took it?",30034,,30036.0
30034,122605,True,2017-11-01 11:23:33+00:00,"@115850 Even if it is a neighbour, I would like to know who.",30031,30036.0,30036.0
30031,AmazonHelp,False,2017-11-01 11:31:01+00:00,@122605 I'm sorry for the wrong update. Please get in touch with us via https://t.co/TxK11z5H93 and we'll look into this for you. ^AM,"30032,30033",30034.0,30036.0
30033,122605,True,2017-11-01 11:41:46+00:00,@AmazonHelp Found it! It was slipped inside through the grill. Plz ask the delivery team to give the correct update!,,30031.0,30036.0
30032,122605,True,2017-11-01 11:42:01+00:00,@AmazonHelp And thank you for the help.,30035,30031.0,30036.0
30035,AmazonHelp,False,2017-11-01 11:59:49+00:00,"@122605 Thank you for your feedback, Abhinav. I will have this forwarded to the concerned team internally. ^KS",,30032.0,30036.0
38808,124468,True,2017-10-31 20:19:47+00:00,@AmazonHelp I’m requested a courier pick up a package to return it yesterday and nobody’s turned up to pick it up yet,38807,,38808.0
38807,124468,True,2017-11-01 14:46:31+00:00,@AmazonHelp Anyone out there,38806,38808.0,38808.0
38806,AmazonHelp,False,2017-11-01 14:54:00+00:00,"@124468 This may be helpful: https://t.co/Tx9woJ1OSE

If this doesn't help to answer, reach us phone/chat: https://t.co/JzP7hlA23B ^KN",,38807.0,38808.0
43303,125595,True,2017-11-01 15:54:32+00:00,"You know what sucks, @115821? When you pre-order something to guarantee an arrival on the day of release only to find out you gotta wait https://t.co/mrqoj4FmiI",43302,,43303.0
43302,AmazonHelp,False,2017-11-01 16:01:22+00:00,@125595 I'm sorry for the troubles with your order! Please contact us by Phone/Chat: https://t.co/hApLpMlfHN &amp; we'll be glad to help!^FR,,43303.0,43303.0
53510,128089,True,2017-11-01 18:52:33+00:00,"Ahahaha dear @115821 @115850 what's wrong with you guys ? 
#Patanjali aloe vera gel price 😂 https://t.co/JhQhPNbmgR",53509,,53510.0
53509,AmazonHelp,False,2017-11-01 18:54:27+00:00,"@128089 Thank you for keeping us posted, Aakash. We will have this reported to the concerned team internally. ^KS",,53510.0,53510.0
54401,128313,True,2017-11-01 19:03:38+00:00,@AmazonHelp ive signed up to prime student about a week ago with 6 months free so why is it saying theres a problem with my card? https://t.co/EvBkqR1APB,54400,,54401.0
54400,AmazonHelp,False,2017-11-01 19:10:34+00:00,@128313 I'm sorry for the trouble! Please reach out to us here: https://t.co/JzP7hlA23B so we can look into this with you. ^AH,,54401.0,54401.0
57421,129022,True,2017-11-01 20:06:09+00:00,"#HearUsAmazon

Fed up with garbage returns / No Track on our returns @115850 @115851 @128876 https://t.co/DgIvsmyaKT","57420,57422",,57421.0
57420,AmazonHelp,False,2017-11-01 20:13:36+00:00,@129022 Sorry about the trouble with the returns. Please connect with us here: https://t.co/isRjP4ZiBn and we'll get this checked. ^HD,,57421.0,57421.0
57422,129022,True,2017-11-02 01:47:43+00:00,"@115850 @115851 @128876 I dont deal in shoes
I got only 1 shoe
No one contacted me to claim it 
Already complained many times no one listens",1413758,57421.0,57421.0
1413758,AmazonHelp,False,2017-11-02 01:58:00+00:00,@129022 We'd like to take a closer look into this. Kindly fill in your details here: https://t.co/GIJyeYqKE0 and I'll look into this.^SQ,,57422.0,57421.0
58087,129186,True,2017-11-01 19:58:05+00:00,@AmazonHelp can I DM you instead?,58085,,58087.0
58085,AmazonHelp,False,2017-11-01 20:29:29+00:00,"@129186 I've just replied to your DM, thank you for your patience! ^LA",58086,58087.0,58087.0
58086,129186,True,2017-11-02 13:05:09+00:00,@AmazonHelp I replied a while ago,,58085.0,58087.0
59520,129576,True,2017-11-01 20:53:49+00:00,@115850 When will iPhone X will be back in stock?,"59518,59522",,59520.0
59522,AmazonHelp,False,2017-11-01 20:57:27+00:00,"@129576 We haven't made an announcement on that yet. However, you can click on ""Email Me"" option 1/2 ^HD",,59520.0,59520.0
59518,AmazonHelp,False,2017-11-01 20:58:00+00:00,@129576 on the product page and you'll receive an email once the item is back in stock. 2/2 ^HD,59519,59520.0,59520.0
59519,129576,True,2017-11-01 21:02:58+00:00,@AmazonHelp are you going to keep the availability to limited pincodes like flipkart? They have the device available to buy.,59521,59518.0,59520.0
59521,AmazonHelp,False,2017-11-01 21:10:08+00:00,"@129576 You'll be able to see the availability of that particular to your pincode once it is back in stock, Karan. ^HD",,59519.0,59520.0
63156,130480,True,2017-11-01 21:45:36+00:00,First time i've ordered something from @AmazonHelp and it has not arrived. Eagerly waiting for the seller to refund...,63153,,63156.0
63153,AmazonHelp,False,2017-11-01 21:48:29+00:00,@130480 I'm sorry! Have you received an email confirming the refund?  ^AG,"63154,63155",63156.0,63156.0
63155,130480,True,2017-11-01 21:49:41+00:00,"@AmazonHelp Whoever is in charge of responding, i am certain he is not superman. Still waiting for a response.",63157,63153.0,63156.0
63154,130480,True,2017-11-01 21:50:23+00:00,@AmazonHelp The recent and worst reviews made it look like a gamble to order my sweater. Not cool.,,63153.0,63156.0
63157,AmazonHelp,False,2017-11-01 23:04:34+00:00,@130480 I'm sorry for the wait. Please let us know if you haven't heard from the seller in two business days. ^SE,,63155.0,63156.0
65683,131034,True,2017-11-30 08:53:32+00:00,"yup @115821 we paid for shipping to get the package Tuesday and seen this last night at 10pm  We're sorry your package is late
We don't have a new delivery date from UPS, but we recommend waiting as it'll usually arrive within a few days. NO!!!!!",65681,,65683.0
65681,AmazonHelp,False,2017-11-30 08:55:56+00:00,@131034 I'm sorry to hear about the delay. Is there any further information on your tracking? You can find your tracking here:  https://t.co/Y5jpI9gRhE. ^MI,65682,65683.0,65683.0
65682,131034,True,2017-11-30 09:00:56+00:00,@AmazonHelp yup that is where I found out it was not arriving thanks will wait for it tomorrow after work,65684,65681.0,65683.0
65684,AmazonHelp,False,2017-11-30 09:03:53+00:00,@131034 You're very welcome Frank. Please keep us posted!!^GA,,65682.0,65683.0
67420,131398,True,2017-11-30 09:18:27+00:00,"Good Work @115830  for managing to not help me find my package. Amazon: ""Well it has been signed for!""
Me: By who???
Amazon: ""Don't know!""

Brilliant! 
Have a good Christmas Delivery man...my treat!
#Smallfry #charity #buyerbeware","67419,67421",,67420.0
67419,AmazonHelp,False,2017-11-30 09:27:52+00:00,@131398 I'm sorry to hear of the mix up. Check out our help page on locating goods marked as delivered: https://t.co/cVe1l4OjvB ^KI,,67420.0,67420.0
67421,131783,True,2017-11-30 09:44:18+00:00,@131398 @115830 Their delivery driver chucked one over our back gate yesterday and said it’d been signed for!!,69652,67420.0,67420.0
69652,AmazonHelp,False,2017-11-30 09:56:00+00:00,@131783 I'm sorry to hear this Glenn. Was your product damaged at all?^PJ,,67421.0,67420.0
76097,133026,True,2017-11-30 11:25:45+00:00,There is nothing worse than checking your order on amazon and seeing “Delayed” next to it 😩😩😩,76095,,76097.0
76095,AmazonHelp,False,2017-11-30 11:30:33+00:00,"@133026 Oh no!  We're sorry to hear that your package was delayed Michelle.  Have you received an e-mail with an updated delivery date? It may have been routed to a junk/spam folder as sometimes happens.  Keep us posted, we're here to help any way we can! ^AZ",76096,76097.0,76097.0
76096,133026,True,2017-12-01 16:00:21+00:00,@AmazonHelp No worries! It was delivered on time. Just to my next door neighbors house :( not your fault,,76095.0,76097.0
80746,133914,True,2017-11-30 13:04:18+00:00,Shoutout to @115821 for having my favorite @2647 #hdconcealers at a discounted rate of $3 in the @2647 store and only they $5 #iwin #nyxcosmetics https://t.co/H3Sb0rprXw,80745,,80746.0
80745,AmazonHelp,False,2017-11-30 13:10:30+00:00,@133914 No problem at all! We have your back! 👍 ^KI,,80746.0,80746.0
83499,134346,True,2017-11-30 13:26:54+00:00,"@115830 Hello, I have been incorrectly charged for a product I purchased on https://t.co/05jLowTHUh by the seller Amazon EU S.a.r.L.. I guess there is no way to contact the seller since it was sold by Amazon, at least I haven't been able to find one. Pls, advise.",83497,,83499.0
83497,AmazonHelp,False,2017-11-30 13:36:34+00:00,"@134346 Hello Suyash, sorry you have not had a pleasant experience with this order. Just to confirm, were you charged an incorrect amount or did you not receive the correct product? You can contact the seller by following the instructions here: https://t.co/ZWFO8EajzY ^TE",83498,83499.0,83499.0
