conversation_id,tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,message_length,conversation_length,message_length_group,conversation_length_group
2538181.0,2538181,721911,True,2017-11-16 09:13:06+00:00,"@115850 @115821 It's been 11 days since I order a product from you people, I didn't even get a single response from the delivery team. What I can see in my page is delivery unsuccessful !!! It's not acceptable at all !!!",2538178,2538178.0,220,6,very_long,long
2876360.0,2876360,798485,True,2017-11-28 05:40:56+00:00,画集あまぞんくんで頼んでるんだけどええい！支払い番号はまだか…！！,2876359,,33,2,very_short,short
169635.0,169635,155505,True,2017-11-24 21:01:33+00:00,Got sent this @115830 Black Friday deal earlier. It said there were 9 hours left so waited until I was home from work but the price has gone up to £211!!! Is this allowed?! #BlackFridayDeals @118374 https://t.co/eJKn7ziKaq,169633,169633.0,222,3,very_long,medium
71993.0,71993,132154,True,2017-11-29 20:02:48+00:00,ぎゃあああ、Amazonまでクリック直前の画面縦ズレしやがった！　プライム体験とかいらんかったのに勝手に登録しやがったあああ！！！,71992,71992.0,65,4,short,medium
1581323.0,1581323,306603,True,2017-11-04 18:48:06+00:00,Since I don’t have to sign for my packages can your carriers just leave them. @115821 @AmazonHelp,1581321,1581323.0,97,5,short,long
2119254.0,2119254,624534,True,2017-11-08 14:43:00+00:00,"So I realized I have 206 steam games, 40 gog games, and 13 Uplay games a couple of origin and twitch games...a large majority of them I got for free.

I need to play my video games. 😅",2119253,2119254.0,183,8,long,very_long
2909062.0,2909062,805420,True,2017-11-28 21:04:02+00:00,"@115833 My Alexa takes my request to play WETA (saying the letters) as a request for Wet Radio from Tune In. New behavior, started a couple months ago, worked fine before. Can't get to WETA at all. Can't find a way to correct it.",2909060,2909060.0,229,12,very_long,very_long
74438.0,74438,132665,True,2017-11-29 02:43:14+00:00,@115817 this is the package I received today.  This is just the beginning of the “delivery” season!  🤨 Gotta do better! @115821 https://t.co/u1UTtcoi1C,"74439,74440,74437",74440.0,151,9,long,very_long
2681958.0,2681958,754455,True,2017-11-25 23:33:19+00:00,は？P3・P4・P4G・P5のサントラ全部無料かよ amazon神だな,2681957,,35,2,very_short,short
1252190.0,1252190,413736,True,2017-10-26 04:54:46+00:00,あー、Amazon……オフラインでも読めるんかな,1252188,1252188.0,24,6,very_short,long
791549.0,791549,216940,True,2017-10-12 12:32:09+00:00,Mon colis est arrivé à bon port :D @AmazonHelp,791548,791548.0,46,30,very_short,extreme
235707.0,235707,172139,True,2017-10-04 03:48:39+00:00,@115850 where is this ..... https://t.co/SIudl3fzbz,235706,235706.0,51,34,short,extreme
1501711.0,1501711,468562,True,2017-05-25 12:56:51+00:00,"Wow Dept.: GMgr kept giving me 20 hours/week when I repeatedly asked for 40. 8 people have quit this week, no notice.Thanks God for 40hrs!🙏🏽 https://t.co/jmd8yw74TE",1501710,1501711.0,164,25,long,extreme
485348.0,485348,230469,True,2017-12-01 15:02:22+00:00,"After years of buying, first time I ship with Amazon Logistic and it's just a quick way to throw away my money, 800 $ lost in merchandise and you just can not be held responsible. What good policies, guys, great work. @115821 @116928, that was a Black Friday in deep","485349,485347",485347.0,266,16,very_long,extreme
2627604.0,2627604,742146,True,2017-11-17 16:41:06+00:00,@116316 Hab mir Star Wars Bettlefront 2 vorbestellt und es ist immernoch nicht angekommen,2627603,2627603.0,89,4,short,medium
226168.0,226168,115850,True,2017-09-21 17:15:43+00:00,Watch amazon and Nokia #UniteFor #Fun by bringing the sensational new Nokia 6 to fans all across India. #AmazonExclusive,"226169,226167,226170,226171,226172,226173,226174,226175,226176,226177,226178,226179",226168.0,120,44,medium,extreme
2767503.0,2767503,773888,True,2017-11-21 11:07:59+00:00,"@AmazonHelp Bonjour, j'ai passé une énorme commande informatique et j'ai reçu mon 1er paquet : pour un item à 100€ ça vous semble normal de le recevoir dans cet état ? Je me suis faite livrée au travail la personne n'a même pas eu le temps de me chercher pour refuser ou autre https://t.co/HANeqrIuyp","2767501,2767504",2767501.0,300,9,very_long,very_long
